id,timestamp,timestamp,sequence,byte1,byte8,byte6,byte3,can_id,byte4,byte2,byte5,byte7
6,1761572698143,1761572698143,29917,253,255,255,100,217056000,255,0,255,255
6,1761572698143,1761572698143,29918,225,255,255,0,419299536,255,3,255,255
6,1761572698143,1761572698143,29919,255,125,96,255,418384139,112,255,125,126
6,1761572698143,1761572698143,29920,255,255,255,111,419343920,111,255,255,255
6,1761572698143,1761572698143,29921,249,23,64,125,418513395,12,50,125,2
6,1761572698143,1761572698143,29922,0,0,0,0,150892043,0,0,0,0
6,1761572698143,1761572698143,29923,0,38,255,255,202058448,255,255,255,255
6,1761572698143,1761572698143,29924,9,13,13,7,420026355,13,13,11,11
6,1761572698143,1761572698143,29925,0,125,255,0,419373295,0,125,125,255
6,1761572698143,1761572698143,29926,71,71,70,71,409475059,71,70,70,71
6,1761572698143,1761572698143,29927,195,0,160,49,418513651,88,200,160,0
6,1761572698143,1761572698143,29928,0,0,0,0,418514419,0,0,0,64
6,1761572698143,1761572698143,29929,255,125,96,255,418384139,112,255,125,126
6,1761572698143,1761572698143,29930,1,248,255,2,418579704,0,2,255,10
6,1761572698143,1761572698143,29931,56,39,13,12,418514675,46,13,42,12
6,1761572698143,1761572698143,29932,57,255,40,21,419358456,27,44,10,255
6,1761572698143,1761572698143,29933,39,42,13,10,418514931,42,13,36,12
6,1761572697258,1761572697258,29218,0,125,255,0,419373295,0,125,125,255
6,1761572697258,1761572697258,29241,125,0,16,0,419325167,0,0,68,0
