,vehicle_id,timestamp,dt,IST,ts_mins,total_battery_current,bat_voltage,gear_position,odometerreading,vehicle_speed_vcu,vehiclereadycondition,gun_connection_status,ignitionstatus,latitude,longitude,altitude,ground_speed_kmph,charger_proximity,dist_from_loc
17335,18,2025-09-21 05:11:44.839,2025-09-21,2025-09-21 10:41:44.839,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17336,18,2025-09-21 05:11:46.019,2025-09-21,2025-09-21 10:41:46.019,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17337,18,2025-09-21 05:11:47.179,2025-09-21,2025-09-21 10:41:47.179,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17338,18,2025-09-21 05:11:48.419,2025-09-21,2025-09-21 10:41:48.419,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17339,18,2025-09-21 05:11:49.439,2025-09-21,2025-09-21 10:41:49.439,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17340,18,2025-09-21 05:11:50.619,2025-09-21,2025-09-21 10:41:50.619,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17341,18,2025-09-21 05:11:51.599,2025-09-21,2025-09-21 10:41:51.599,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17342,18,2025-09-21 05:11:52.679,2025-09-21,2025-09-21 10:41:52.679,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17343,18,2025-09-21 05:11:53.799,2025-09-21,2025-09-21 10:41:53.799,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17344,18,2025-09-21 05:11:54.820,2025-09-21,2025-09-21 10:41:54.820,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17345,18,2025-09-21 05:11:55.819,2025-09-21,2025-09-21 10:41:55.819,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17346,18,2025-09-21 05:11:57.179,2025-09-21,2025-09-21 10:41:57.179,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17347,18,2025-09-21 05:11:58.219,2025-09-21,2025-09-21 10:41:58.219,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17348,18,2025-09-21 05:11:59.399,2025-09-21,2025-09-21 10:41:59.399,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17349,18,2025-09-21 05:12:00.439,2025-09-21,2025-09-21 10:42:00.439,2025-09-21 05:12:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,0.0,NEAR_MZF,16.27
