,Departure_Index,vehicle_id,Trip,Departure_Time,Arrival_Time,ODO_Distance_km,TRAVEL_Time,Energy_Consumed_kWh,Regen_Energy_kWh,Idling_Energy_kWh,Net_Energy_kWh,Energy_Rate_kWh_per_km,HALT_Time,TOTAL_Time,GPS_Distance_km,Arrival_Index
87,1152370,19,MZF-DDN,2025-09-27 22:47:01.917,2025-09-28 00:56:02.219,125.5,02:09:00,127.711,17.3,4.288,110.411,0.88,01:01:59,03:11:00,85.77,1156686
88,1165152,19,DDN-MZF,2025-09-28 05:17:03.647,2025-09-28 07:28:00.373,125.51,02:10:56,104.758,17.387,1.104,87.371,0.7,04:21:01,06:31:58,85.82,1170079
89,1172274,19,MZF-GGN,2025-09-28 08:10:00.453,2025-09-28 12:24:02.932,199.38,04:14:02,347.801,44.492,2.666,303.309,1.52,00:42:00,04:56:02,145.25,1178112
90,1182478,19,GGN-MZF,2025-09-28 15:46:22.658,2025-09-28 21:35:48.584,204.62,05:49:25,307.083,46.489,6.311,260.595,1.27,03:22:19,09:11:45,145.17,1190371
91,1190911,19,MZF-DDN,2025-09-28 22:23:00.924,2025-09-29 00:36:01.662,125.43,02:13:00,169.405,29.044,0.0,140.361,1.12,00:47:12,03:00:13,85.58,1195660
92,1205750,19,DDN-MZF,2025-09-29 05:05:01.710,2025-09-29 07:34:53.591,127.36,02:29:51,121.688,25.818,2.455,95.87,0.75,04:29:00,06:58:51,85.77,1211098
93,1212311,19,MZF-GGN,2025-09-29 08:15:04.381,2025-09-29 12:56:02.343,198.75,04:40:57,245.955,160.1,1.759,85.855,0.43,00:40:10,05:21:08,144.98,1218221
94,1222550,19,GGN-MZF,2025-09-29 15:45:04.972,2025-09-29 21:47:00.587,204.07,06:01:55,291.888,43.524,17.401,248.365,1.22,02:49:02,08:50:58,144.91,1230522
95,1232850,19,MZF-DDN,2025-09-29 22:36:02.927,2025-09-30 00:55:05.658,125.4,02:19:02,162.297,24.246,0.714,138.05,1.1,00:49:02,03:08:05,85.65,1237832
96,1249159,19,DDN-MZF,2025-09-30 05:05:04.849,2025-09-30 07:30:01.853,125.11,02:24:57,112.532,17.554,2.446,94.978,0.76,04:09:59,06:34:56,85.6,1254489
97,1254734,19,MZF-GGN,2025-09-30 08:15:05.553,2025-09-30 12:41:00.856,199.25,04:25:55,215.381,53.622,1.122,161.759,0.81,00:45:03,05:10:59,145.04,1262128
98,1265650,19,GGN-MZF,2025-09-30 16:16:07.236,2025-09-30 22:14:00.566,204.12,05:57:53,266.068,57.332,4.845,208.736,1.02,03:35:06,09:32:59,144.87,1274392
99,1275265,19,MZF-DDN,2025-09-30 23:13:00.766,2025-10-01 01:17:18.173,125.38,02:04:17,131.317,35.212,0.0,96.105,0.77,00:59:00,03:03:17,85.63,1279626
100,1287204,19,DDN-MZF,2025-10-01 04:52:00.597,2025-10-01 07:35:06.437,125.25,02:43:05,117.721,32.125,3.563,85.596,0.68,03:34:42,06:17:48,85.61,1296047
101,1296533,19,MZF-GGN,2025-10-01 08:16:17.272,2025-10-01 13:04:10.149,198.93,04:47:52,261.822,50.837,1.29,210.985,1.06,00:41:10,05:29:03,144.76,1308104
102,1316430,19,GGN-MZF,2025-10-01 15:32:16.183,2025-10-01 22:30:00.366,204.0,06:57:44,288.981,39.506,7.241,249.475,1.22,02:28:06,09:25:50,144.99,1331438
103,1331911,19,MZF-DDN,2025-10-01 23:20:05.586,2025-10-02 01:34:13.276,125.12,02:14:07,161.26,28.138,0.227,133.122,1.06,00:50:05,03:04:12,85.56,1338734
104,1346850,19,DDN-MZF,2025-10-02 05:10:02.558,2025-10-02 08:21:15.035,127.12,03:11:12,87.983,18.551,4.972,69.432,0.55,03:35:49,06:47:01,85.81,1352911
105,1353454,19,MZF-GGN,2025-10-02 08:31:01.007,2025-10-02 12:29:03.477,199.0,03:58:02,241.104,52.21,1.383,188.894,0.95,00:09:45,04:07:48,144.76,1362026
106,1372423,19,GGN-MZF,2025-10-02 15:48:00.177,2025-10-02 21:05:13.970,204.0,05:17:13,191.15,76.978,4.032,114.172,0.56,03:18:56,08:36:10,144.86,1386306
107,1387312,19,MZF-DDN,2025-10-02 21:56:20.390,2025-10-03 00:13:00.855,125.47,02:16:40,143.851,34.116,0.546,109.735,0.87,00:51:06,03:07:46,85.76,1391889
108,1399905,19,DDN-MZF,2025-10-03 05:04:05.115,2025-10-03 07:36:04.824,125.22,02:31:59,119.59,29.308,1.412,90.282,0.72,04:51:04,07:23:03,85.6,1405908
109,1406143,19,MZF-GGN,2025-10-03 08:21:00.645,2025-10-03 13:02:04.143,198.9,04:41:03,250.611,45.635,1.316,204.977,1.03,00:44:55,05:25:59,145.25,1412881
110,1445173,19,GGN-MZF,2025-10-05 15:42:07.376,2025-10-05 21:29:00.505,203.57,05:46:53,249.977,54.331,8.055,195.645,0.96,50:40:03,56:26:56,145.03,1453692
111,1456020,19,MZF-DDN,2025-10-05 22:13:04.685,2025-10-06 00:25:05.841,125.31,02:12:01,114.286,13.35,0.115,100.936,0.81,00:44:04,02:56:05,85.8,1458814
112,1471916,19,DDN-MZF,2025-10-06 05:00:01.934,2025-10-06 07:30:46.936,127.38,02:30:45,114.336,30.27,2.211,84.066,0.66,04:34:56,07:05:41,85.79,1477124
113,1479175,19,MZF-GGN,2025-10-06 08:12:00.315,2025-10-06 14:14:01.937,207.61,06:02:01,228.697,65.475,2.178,163.222,0.79,00:41:13,06:43:15,145.05,1488343
114,1491824,19,GGN-MZF,2025-10-06 16:05:13.398,2025-10-06 22:24:03.210,204.3,06:18:49,230.132,65.796,0.677,164.336,0.8,01:51:11,08:10:01,145.08,1500797
115,1501344,19,MZF-DDN,2025-10-06 23:01:02.230,2025-10-07 00:59:01.030,125.85,01:57:58,211.674,28.595,0.08,183.079,1.45,00:36:59,02:34:57,85.55,1504883
116,1515852,19,DDN-MZF,2025-10-07 05:03:00.216,2025-10-07 07:38:02.857,125.33,02:35:02,116.763,26.79,1.761,89.973,0.72,04:03:59,06:39:01,85.75,1521625
117,1521974,19,MZF-GGN,2025-10-07 08:13:03.257,2025-10-07 12:55:19.486,198.8,04:42:16,221.003,45.817,0.098,175.185,0.88,00:35:00,05:17:16,144.82,1528407
118,1533492,19,GGN-MZF,2025-10-07 16:03:00.672,2025-10-08 02:07:02.993,203.6,10:04:02,238.776,43.328,1.854,195.449,0.96,03:07:41,13:11:43,144.84,1549694
119,1552786,19,MZF-DDN,2025-10-08 03:07:06.643,2025-10-08 05:30:04.224,125.62,02:22:57,142.082,22.922,0.117,119.16,0.95,01:00:03,03:23:01,85.68,1557477
120,1563605,19,DDN-MZF,2025-10-08 07:53:00.243,2025-10-08 10:21:01.283,125.62,02:28:01,125.891,37.955,0.71,87.935,0.7,02:22:56,04:50:57,85.86,1569993
121,1570755,19,MZF-GGN,2025-10-08 11:15:04.607,2025-10-08 17:09:00.818,198.62,05:53:56,176.747,49.492,0.487,127.255,0.64,00:54:03,06:47:59,145.08,1579370
